Year,Month,Date (mm/dd/yyyy), Amount ,Category (Select),Subcategory (Select),Store,Credit Card,Comments,,,
2019,October,10/02/19, $13.70 ,Mindful Spending,Restaurant,A&W,1095,,,,
2019,October,10/02/19, $31.24 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,October,10/04/19, $8.93 ,Mindful Spending,Restaurant,Petra Café,1095,,,,
2019,October,10/05/19, $25.83 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,October,10/07/19, $18.81 ,Mindful Spending,Other,Shoppers Drug Mart,1095,,,,
2019,October,10/08/19, $9.50 ,Mindful Spending,Restaurant,My home cuisine,1095,,,,
2019,October,10/09/19, $26.85 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,October,10/09/19, $4.12 ,Mindful Spending,Restaurant,Tim Hortons,1095,,,,
2019,October,10/13/19, $18.12 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,October,10/17/19, $34.44 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,October,10/19/19, $65.79 ,Fixed,Groceries,Save on Foods,1095,Credit Card Cut,,,
2019,October,10/21/19, $24.47 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,October,10/21/19, $10.00 ,Mindful Spending,Restaurant,Noodle Emporium,1095,,,,
2019,October,10/24/19, $13.11 ,Mindful Spending,Restaurant,Bento Sushi,1095,,,,
2020,January,1/14/20, $50.00 ,Fixed,Phone,FIDO Mobile,1095,,,,
2020,January,1/18/20, $75.17 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,January,1/18/20, $14.54 ,Mindful Spending,Home,Dollar N Plus,1095,,,,
2020,January,1/23/20, $52.11 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,January,1/26/20, $34.53 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,January,1/30/20, $57.08 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,January,1/31/20, $11.63 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,February,2/02/20, $22.46 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,February,2/08/20, $61.59 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,February,2/13/20, $28.15 ,Fixed,Groceries,Save on Foods,1095,,,,
2020,February,2/14/20, $50.00 ,Fixed,Phone,FIDO Mobile,1095,,,,
